Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
385,UEFA Champions League,2017-05-10,Atletico Madrid,Real Madrid,2,1,2016/17,Home,2017,5,2,1,1,Win
386,Spain Liga,2017-05-06,Atletico Madrid,Eibar,1,0,2016/17,Home,2017,5,1,0,1,Win
387,UEFA Champions League,2017-05-02,Real Madrid,Atletico Madrid,3,0,2016/17,Away,2017,5,0,3,-3,Loss
388,Spain Liga,2017-04-29,Las Palmas,Atletico Madrid,0,5,2016/17,Away,2017,4,5,0,5,Win
389,Spain Liga,2017-04-25,Atletico Madrid,Villarreal,0,1,2016/17,Home,2017,4,0,1,-1,Loss
390,Spain Liga,2017-04-22,RCD Espanyol,Atletico Madrid,0,1,2016/17,Away,2017,4,1,0,1,Win
391,UEFA Champions League,2017-04-18,Leicester City,Atletico Madrid,1,1,2016/17,Away,2017,4,1,1,0,Draw
392,Spain Liga,2017-04-15,Atletico Madrid,Osasuna,3,0,2016/17,Home,2017,4,3,0,3,Win
393,UEFA Champions League,2017-04-12,Atletico Madrid,Leicester City,1,0,2016/17,Home,2017,4,1,0,1,Win
394,Spain Liga,2017-04-08,Real Madrid,Atletico Madrid,1,1,2016/17,Away,2017,4,1,1,0,Draw
395,Spain Liga,2017-04-04,Atletico Madrid,Real Sociedad,1,0,2016/17,Home,2017,4,1,0,1,Win
396,Spain Liga,2017-04-01,Malaga,Atletico Madrid,0,2,2016/17,Away,2017,4,2,0,2,Win
397,Spain Liga,2017-03-19,Atletico Madrid,Sevilla,3,1,2016/17,Home,2017,3,3,1,2,Win
398,UEFA Champions League,2017-03-15,Atletico Madrid,Bayer Leverkusen,0,0,2016/17,Home,2017,3,0,0,0,Draw
399,Spain Liga,2017-03-11,Granada,Atletico Madrid,0,1,2016/17,Away,2017,3,1,0,1,Win
400,Spain Liga,2017-03-05,Atletico Madrid,Valencia,3,0,2016/17,Home,2017,3,3,0,3,Win
401,Spain Liga,2017-03-02,Deportivo La Coruna,Atletico Madrid,1,1,2016/17,Away,2017,3,1,1,0,Draw
402,Spain Liga,2017-02-26,Atletico Madrid,Barcelona,1,2,2016/17,Home,2017,2,1,2,-1,Loss
403,UEFA Champions League,2017-02-21,Bayer Leverkusen,Atletico Madrid,2,4,2016/17,Away,2017,2,4,2,2,Win
404,Spain Liga,2017-02-18,Sporting Gijon,Atletico Madrid,1,4,2016/17,Away,2017,2,4,1,3,Win
405,Spain Liga,2017-02-12,Atletico Madrid,Celta Vigo,3,2,2016/17,Home,2017,2,3,2,1,Win
406,Spain Liga,2017-02-04,Atletico Madrid,Leganes,2,0,2016/17,Home,2017,2,2,0,2,Win
