Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
771,Spain Liga,2009-10-18,Osasuna,Atletico Madrid,3,0,2009/10,Away,2009,10,0,3,-3,Loss
772,Spain Liga,2009-10-03,Atletico Madrid,Real Zaragoza,2,1,2009/10,Home,2009,10,2,1,1,Win
773,UEFA Champions League,2009-09-30,FC Porto,Atletico Madrid,2,0,2009/10,Away,2009,9,0,2,-2,Loss
774,Spain Liga,2009-09-26,Valencia,Atletico Madrid,2,2,2009/10,Away,2009,9,2,2,0,Draw
775,Spain Liga,2009-09-23,Atletico Madrid,Almeria,2,2,2009/10,Home,2009,9,2,2,0,Draw
776,Spain Liga,2009-09-19,Barcelona,Atletico Madrid,5,2,2009/10,Away,2009,9,2,5,-3,Loss
777,UEFA Champions League,2009-09-15,Atletico Madrid,APOEL Nicosia,0,0,2009/10,Home,2009,9,0,0,0,Draw
778,Spain Liga,2009-09-12,Atletico Madrid,Racing Santander,1,1,2009/10,Home,2009,9,1,1,0,Draw
779,Spain Liga,2009-08-30,Malaga,Atletico Madrid,3,0,2009/10,Away,2009,8,0,3,-3,Loss
780,UEFA Champions League,2009-08-25,Atletico Madrid,Panathinaikos,2,0,2009/10,Home,2009,8,2,0,2,Win
781,UEFA Champions League,2009-08-19,Panathinaikos,Atletico Madrid,2,3,2009/10,Away,2009,8,3,2,1,Win
